ticker,name,sector
ALFPC.PA,FOUNTAINE PAJOT,Consumer Discretionary
FDE.PA,FRANCAISE ENERGIE,Utilities
ALLUX.PA,INSTALLUX,Industrials
ALRFG.PA,RACING FORCE,Consumer Discretionary
EXE.PA,EXEL INDUSTRIES,Industrials
ALKEY.PA,KEYRUS,Technology
ALPM.PA,PRECIA,Industrials
CBSM.PA,SCBSM,Real Estate
ALSEN.PA,SENSORION,Health Care
FORE.PA,FORESTIERE EQUAT.,Financials
SRP.PA,SHOWROOMPRIVE,Consumer Discretionary
ALCAF.PA,CAFOM,Consumer Discretionary
ALHAF.PA,HAFFNER ENERGY,Energy
BLEE.PA,BLEECKER,Real Estate
ALRIS.PA,RISING STONE,Consumer Discretionary
ALKAL.PA,KALRAY,Technology
ALBON.PA,LEBON,Financials
ALPDX.PA,PISCINES DESJOYAUX,Consumer Discretionary
ALAFY.PA,AFYREN,Basic Materials
CROS.PA,CROSSWOOD,Real Estate
ALSOG.PA,SOGECLAIR,Industrials
ALUNI.PA,UNIFY GROUP,Technology
ALCRB.PA,CARBIOS,Basic Materials
ALIEV.PA,IEVA GROUP,Consumer Staples
DKUPL.PA,DEKUPLE,Consumer Discretionary
LHYFE.PA,LHYFE,Energy
GBT.PA,GUERBET,Health Care
ALECR.PA,EUROFINS CEREP,Health Care
LACR.PA,LACROIX GROUP,Industrials
POMRY.PA,MAISON POMMERY,Consumer Staples
ALFLE.PA,FLEURY MICHON,Consumer Staples
ALBKK.PA,BAIKOWSKI,Basic Materials
DPAM.PA,DOCK.PETR.AMBES AM,Industrials
ALCJ.PA,CROSSJECT,Health Care
DPT.PA,ST DUPONT,Consumer Staples
ALATI.PA,ACTIA GROUP,Industrials
EAPI.PA,EUROAPI,Health Care
GEA.PA,GEA GRENOBL.ELECT.,Industrials
ADOC.PA,ADOCIA,Health Care
SPEL.PA,FONCIERE VOLTA,Real Estate
ALDEL.PA,DELFINGEN,Consumer Discretionary
ABNX.PA,ABIONYX PHARMA,Health Care
ALVAZ.PA,VAZIVA,Industrials
ALBI.PA,GASCOGNE,Industrials
ALATA.PA,ATARI,Consumer Discretionary
ALWEC.PA,WE.CONNECT,Consumer Discretionary
ALFER.PA,SERGEFERRARI GROUP,Industrials
SACI.PA,FIDUCIAL OFF.SOL.,Consumer Discretionary
VTR.PA,VITURA,Real Estate
OSE.PA,OSE IMMUNO,Health Care
CO.PA,CASINO GUICHARD,Consumer Staples
ALLDL.PA,GROUPE LDLC,Technology
AAA.PA,ALAN ALLMAN,Financials
ALODC.PA,OMER-DECUGIS & CIE,Consumer Staples
HCO.PA,HIGH CO,Consumer Discretionary
AB.PA,AB SCIENCE,Health Care
ABEO.PA,ABEO,Consumer Discretionary
ALHGR.PA,HOFFMANN,Industrials
ALICA.PA,ICAPE HOLDING,Technology
ALMOU.PA,MOULINVEST,Basic Materials
EKI.PA,EKINOPS,Telecommunications
PIG.PA,HAULOTTE GROUP,Industrials
GUI.PA,GUILLEMOT,Technology
ALAVI.PA,ADVINI,Consumer Staples
ALPUL.PA,PULLUP ENTERTAIN,Consumer Discretionary
SABE.PA,SAINT JEAN GROUPE,Consumer Staples
ALLEX.PA,LEXIBOOK LINGUIST.,Consumer Discretionary
ALMDG.PA,MGI DIGITAL GRAPHI,Industrials
ALHRG.PA,HERIGE,Industrials
ALMKS.PA,MAKING SCIENCE,Technology
S30.PA,SOLUTIONS 30 SE,Technology
COH.PA,COHERIS,Technology
ALCAT.PA,CATANA GROUP,Consumer Discretionary
ALKLN.PA,KALEON,Consumer Discretionary
ALTHX.PA,THX PHARMA,Health Care
AURE.PA,AUREA,Utilities
ALGAE.PA,FERMENTALG,Basic Materials
MAAT.PA,MAAT PHARMA,Health Care
ALREB.PA,REBIRTH,Real Estate
ALBLD.PA,BILENDI,Consumer Discretionary
ALTHE.PA,THERACLION,Health Care
ALMIB.PA,AMOEBA,Basic Materials
